IP Address             Link Layer   Recv   Sent    Delay(us)  Average
10.10.20.1      00:80:c8:fb:78:d8      3      3        63370    21123
192.168.0.1     00:80:c8:fb:78:d8      3      3        60620    20206
192.168.0.2     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.3     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.4     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.5     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.6     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.7     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.8     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.9     ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.10    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.11    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.12    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.13    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.14    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.15    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.16    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.17    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.18    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.19    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.20    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.21    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.22    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.23    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.24    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.25    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.26    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.27    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.28    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.29    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.30    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.31    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.32    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.33    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.34    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.35    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.36    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.37    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.38    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.39    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.40    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.41    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.42    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.43    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.44    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.45    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.46    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.47    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.48    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.49    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.50    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.51    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.52    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.53    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.54    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.55    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.56    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.57    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.58    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.59    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.60    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.61    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.62    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.63    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.64    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.65    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.66    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.67    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.68    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.69    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.70    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.71    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.72    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.73    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.74    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.75    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.76    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.77    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.78    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.79    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.80    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.81    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.82    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.83    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.84    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.85    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.86    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.87    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.88    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.89    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.90    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.91    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.92    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.93    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.94    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.95    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.96    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.97    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.98    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.99    ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.100   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.101   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.102   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.103   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.104   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.105   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.106   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.107   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.108   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.109   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.110   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.111   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.112   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.113   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.114   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.115   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.116   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.117   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.118   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.119   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.120   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.121   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.122   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.123   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.124   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.125   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.126   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.127   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.128   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.129   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.130   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.131   ff:ff:ff:ff:ff:ff      0      3            0        0
192.168.0.132   ff:ff:ff:ff:ff:ff      0      3            0        0
